pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
400055,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400056,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400057,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400058,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400059,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400060,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400061,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400063,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400064,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400065,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400066,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400067,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400068,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400069,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400070,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
400071,mumbai,MUMBAI SUBURBAN,MAHARASHTRA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
