pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
700053,kolkata,KOLKATA,WEST BENGAL,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700054,kolkata,KOLKATA,WEST BENGAL,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700060,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700061,kolkata,KOLKATA,WEST BENGAL,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700062,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700063,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700066,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700067,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700068,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700069,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700070,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700071,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700072,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700073,kolkata,KOLKATA,WEST BENGAL,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700075,kolkata,KOLKATA,WEST BENGAL,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700078,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700082,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700085,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700086,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700087,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700088,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700092,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700094,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700095,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700099,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700100,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700105,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700107,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
900099,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
