pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
560050,bengaluru,BENGALURU URBAN,KARNATAKA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560051,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560053,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560054,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560055,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560056,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560057,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560058,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560059,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560060,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560061,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560062,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560063,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560064,bengaluru,BENGALURU URBAN,KARNATAKA,7,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560065,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560066,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560067,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560068,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560070,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560071,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560072,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560073,bengaluru,BENGALURU URBAN,KARNATAKA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560074,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560075,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560076,bengaluru,BENGALURU URBAN,KARNATAKA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560077,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560078,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560079,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560080,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560081,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560082,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560083,bengaluru,BENGALURU URBAN,KARNATAKA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560084,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560085,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560086,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560087,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560088,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560089,bengaluru,BENGALURU URBAN,KARNATAKA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560090,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560091,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560092,bengaluru,BENGALURU URBAN,KARNATAKA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560093,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560094,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560095,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560096,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560097,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560098,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560099,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560100,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560102,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560103,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560104,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
