pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
600060,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600061,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600066,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600068,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600076,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600077,chennai,CHENNAI,TAMIL NADU,1,false,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600078,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600081,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600082,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600083,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600084,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600085,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600086,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600087,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600088,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600089,chennai,CHENNAI,TAMIL NADU,1,false,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600090,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600091,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600092,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600093,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600094,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600095,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600096,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600097,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600099,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600101,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600102,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600103,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600104,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600106,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600107,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600113,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600115,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600116,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600118,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600119,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600125,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
