name,original_name,latitude,longitude,line,operator,wikipedia,osm_id
"Sir M. Visvesvaraya Stn., Central College Metro Station","Sir M. Visvesvaraya Stn., Central College",12.9745197,77.58422,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857557
South End Circle Metro Station,South End Circle,12.9382573,77.5800556,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6432710297
"Sri Balagangadharanatha Swamiji Station, Hosahalli Metro Station","Sri Balagangadharanatha Swamiji Station, Hosahalli",12.9742933,77.5456215,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857561
Sri Sathya Sai Hospital Metro Station,Sri Sathya Sai Hospital,12.9811949,77.7275361,#e542de,Bangalore Metro Rail Corporation Limited,en:Sri Sathya Sai Hospital metro station,node/5760197751
Srirampura Metro Station,Srirampura,12.9965253,77.5631963,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5960788726
Swami Vivekananda Road Metro Station,Swami Vivekananda Road,12.9859306,77.644897,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857550
Thalaghattapura Metro Station,Thalaghattapura,12.8714097,77.5383958,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/9919651774
Trinity Metro Station,Trinity,12.9730218,77.6170205,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857553
Vajarahalli Metro Station,Vajarahalli,12.8774369,77.5447414,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/9919651775
Vijayanagar Metro Station,Vijayanagar,12.9709559,77.5374044,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857562
Whitefield (Kadugodi) Metro Station,Whitefield (Kadugodi),12.9957428,77.7579489,#e542de,Bangalore Metro Rail Corporation Limited,en:Whitefield (Kadugodi) metro station,node/5760197744
Yelachenahalli Metro Station,Yelachenahalli,12.8960498,77.5701194,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6432710292
Yeshwantpur Metro Station,Yeshwantpur,13.0232678,77.5498751,Unknown,Bangalore Metro Rail Corporation Limited,en:Yeshwanthpur metro station,node/11941186869
