rank,hex_id,name,final_affluence_score,affluence_tier,spatial_relation,confidence_score,countable_family_tam,direct_family_tam,direct_total_units,direct_luxury_society_tam,conservative_50l_plus_family_tam,conservative_50l_plus_share_of_direct_tam,estimated_40l_plus_family_tam_linear_25_50_split,estimated_40l_plus_share_linear_25_50_split,nearby_family_tam_weighted_context,society_cluster_tam_weighted_context_not_counted,market_price_per_sqft,refined_budget_segment,premium_candidate_score,rental_yield_pct,yearly_appreciation_pct,society_score,society_cluster_score,hospital_score,market_score,sez_workplace_score,habitability_score,habitability_class,habitable_for_residential_tam,societies_direct_count,societies_nearby_count,society_cluster_project_count,hospitals_nearby_count,top_societies,top_hospitals,quality_flags
120,876014532ffffff,Talagattapura,43.7802,Mixed / Watchlist,local_signal,0.6667,0.0,1667.0,1667.0,1667.0,0.0,0.0,0.0,0.0,1710.75,2000.12,3300.0,Affordable,0.0,,8.2,0.658471,0.723257,0.637248,0.184582,0.0,0.284805,sparse_habitable,True,4,6,14,67,"Casagrand Casablanca (Ultra Luxury, TAM 805) | Purva Park Hill (Ultra Luxury, TAM 492) | Mahindra Eden (Ultra Luxury, TAM 270) | Mahaghars Vajra (Elite Luxury, TAM 100) | Total Environment The Magic Faraway Tree (Elite Luxury, TAM 434)","DHEE Hospitals (Ultra Premium, 8.0 min) | Aster RV Hospital (Ultra Premium, 15.5 min) | Astra Superspeciality Hospital (Super Premium, 8.8 min) | Apollo Hospital (Ultra Premium, 17.8 min) | Fortis Hospital (Ultra Premium, 18.0 min)",
121,876016965ffffff,Thindlu-Vidyaranyapura,43.1553,Mixed / Watchlist,local_signal,0.9,0.0,964.0,964.0,107.0,0.0,0.0,0.0,0.0,979.38,1666.82,6469.0,Mid-Segment,0.00025722957522466455,,,0.508838,0.659174,0.743351,0.36641,0.004349,0.667725,habitable,True,4,10,45,85,"Nipuna Heritage (Premium Luxury, TAM 87) | Aster Apartments (Elite Luxury, TAM 20) | Prestige Willow Tree (Aspirational Premium, TAM 451) | Sushantham Phase 1 (Aspirational Premium, TAM 406) | Sreenidhi Jeevanadi Sanskar (Elite Luxury, TAM 54)","Aster CMI Hospital (Ultra Premium, 7.6 min) | Mind and Brain hospital (Ultra Premium, 5.1 min) | People Tree Hospitals (Ultra Premium, 12.8 min) | Aveksha Hospital (Ultra Premium, 6.2 min) | Medstar Speciality Hospital (Ultra Premium, 5.7 min)",
122,876189250ffffff,Yamalur,43.0397,Mixed / Watchlist,local_signal,0.8667,0.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,229.2,1793.39,,Affordable,0.0,,,0.480505,0.771126,0.861262,0.04,0.30336,0.166216,low_building_evidence,True,1,20,79,132,"Sriven Splendour (Ultra Luxury, TAM 84) | Sobha Daisy (Elite Luxury, TAM 183) | Sobha Dahlia (Super Luxury, TAM 236) | Sobha Jasmine (Elite Luxury, TAM 264) | Rema Skyview Apartments (Ultra Luxury, TAM 72)","Manipal Hospitals Old Airport Road (Ultra Premium, 6.8 min) | Apollo Spectra Hospitals (Ultra Premium, 12.3 min) | Sakra World Hospital (Ultra Premium, 14.0 min) | Cloudnine Hospital - Whitefield (Ultra Premium, 13.5 min) | Vikram Aura Hospital (Ultra Premium, 15.2 min)",
123,876014590ffffff,HMT Ward,42.8595,Mixed / Watchlist,local_signal,0.8,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,402.87,9759.12,Mid-Segment,0.23426817626791302,1.981818181818182,3.4285714285714284,0.167542,0.514506,0.791622,0.664557,0.651914,0.555588,habitable,True,1,1,22,101,"Sharadha Residency (Elite Luxury, TAM 8)","People Tree Hospitals (Ultra Premium, 5.7 min) | Aster CMI Hospital (Ultra Premium, 12.0 min) | Smiles Institute of Gastroenterology (Ultra Premium, 5.3 min) | Mind and Brain hospital (Ultra Premium, 10.0 min) | SPARSH Hospital (Premium, 6.1 min)",
124,8761892f1ffffff,Kitthaganur,42.6624,Mixed / Watchlist,local_signal,1.0,0.0,452.0,452.0,147.0,0.0,0.0,0.0,0.0,501.22,807.62,6257.88122605364,Affordable,0.04955324711049935,,20.8,0.462394,0.567034,0.704812,0.39486,0.209441,0.661038,habitable,True,3,5,10,66,"DRK Bellagio (Ultra Luxury, TAM 76) | Hebron Enclave (Elite Luxury, TAM 71) | Oceanus Tranquil (Aspirational Premium, TAM 305) | Brigade Lakecrest (Super Luxury, TAM 604) | Natureville Beyond (Super Luxury, TAM 110)","Cloudnine Hospital - HRBR (Ultra Premium, 11.0 min) | Trilife Hospital (Ultra Premium, 13.4 min) | Aster Women & Children Hospital (Ultra Premium, 16.7 min) | Aster Whitefield Hospital (Ultra Premium, 16.7 min) | Altor Hospital (Super Premium, 6.8 min)",
125,87618926effffff,Mylasandra,42.4983,Mixed / Watchlist,local_signal,0.7667,0.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,122.49,1071.76,5166.0,Mid-Segment,0.0,,,0.446036,0.683322,0.659122,0.337533,0.28765,0.430309,sparse_habitable,True,1,3,15,71,"Rainbow Mayfair (Elite Luxury, TAM 62) | Manyata Silverwoods (Premium Luxury, TAM 227) | Serenity Gardens by SNN Estates (Ultra Luxury, TAM 594)","Kauvery Hospitals (Ultra Premium, 11.7 min) | Apollo Hospital (Ultra Premium, 14.9 min) | Fortis Hospital (Ultra Premium, 15.1 min) | Cloudnine Hospital - Electronics City (Super Premium, 7.0 min) | Aster RV Hospital (Ultra Premium, 20.5 min)",
126,876189266ffffff,Gulimangala-Veerasandra,42.2292,Mixed / Watchlist,local_signal,0.7533,0.0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,404.23,847.01,10679.09881422925,Premium,0.46454490933227766,,,0.486794,0.568777,0.578246,0.603764,0.007147,0.631129,habitable,True,1,4,9,51,"Purva Silversky (Elite Luxury, TAM 356) | Sipani Viveza (Aspirational Premium, TAM 271) | Laa Moonstone Apartment (Super Luxury, TAM 120) | Vijay nest (Super Luxury, TAM 6)","Kauvery Hospitals (Ultra Premium, 7.6 min) | Springleaf Healthcare (Ultra Premium, 3.9 min) | E City Hospitals (Super Premium, 7.6 min) | Apollo Cradle & Children's Hospital (Super Premium, 10.3 min) | Cloudnine Hospital - Electronics City (Super Premium, 10.1 min)",
127,8761892acffffff,Kodihalli,41.6814,Mixed / Watchlist,local_signal,0.6667,0.0,922.0,922.0,922.0,0.0,0.0,0.0,0.0,922.0,944.09,7377.0,Premium,0.4334113301963874,1.0,,0.521568,0.490425,0.365747,0.551779,0.0,0.188163,low_building_evidence,True,5,5,6,18,"Atmos JR Eastfields (Super Luxury, TAM 389) | Shriram Bageshri (Super Luxury, TAM 201) | Devarala Verde Grand (Super Luxury, TAM 159) | Daiwik Salvina Sapphire (Super Luxury, TAM 134) | SPT Connected Living (Super Luxury, TAM 39)","Aster Women & Children Hospital (Ultra Premium, 23.3 min) | Aster Whitefield Hospital (Ultra Premium, 23.3 min) | RxDx Healthcare (Ultra Premium, 26.9 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 28.5 min) | RxDx Healthcare (Ultra Premium, 25.1 min)",
128,87618934affffff,Banahalli,41.2956,Mixed / Watchlist,local_signal,0.7667,0.0,889.0,889.0,889.0,0.0,0.0,0.0,0.0,895.86,926.07,4800.0,Affordable,0.0,,6.7,0.507007,0.49992,0.355457,0.275354,0.490685,0.579795,habitable,True,2,3,7,22,"Brigade Valencia (Super Luxury, TAM 779) | Prasiddhi Cloud 9 (Elite Luxury, TAM 110) | Subha Belgravia (Super Luxury, TAM 106)","Mazumdar Shaw Medical Center (Premium, 1.5 min) | Kauvery Hospitals (Ultra Premium, 13.3 min) | Springleaf Healthcare (Ultra Premium, 13.0 min) | Sri Sai Hospitals (Super Premium, 11.6 min) | Apollo Cradle & Children's Hospital (Super Premium, 16.0 min)",
129,876016961ffffff,Singapura,40.9102,Mixed / Watchlist,local_signal,0.9,0.0,386.0,386.0,386.0,0.0,0.0,0.0,0.0,472.39,971.62,5871.769230769231,Mid-Segment,0.003239558610180075,3.0,38.7,0.475369,0.542842,0.644622,0.463409,0.00179,0.70212,habitable,True,6,14,28,58,"Elegant Takt (Premium Luxury, TAM 200) | Enrich Brundavana (Premium Luxury, TAM 100) | Asgar Residency (Ultra Luxury, TAM 16) | Nitesh Madison Square (Elite Luxury, TAM 18) | Gkr Krishna Iris (Premium Luxury, TAM 32)","Aster CMI Hospital (Ultra Premium, 12.6 min) | Maarga (Ultra Premium, 7.8 min) | Aveksha Hospital (Ultra Premium, 4.2 min) | Mind and Brain hospital (Ultra Premium, 10.1 min) | People Tree Hospitals (Ultra Premium, 15.8 min)",
130,8761892c4ffffff,Horamavu-Byrathi,39.9634,Low Evidence,low_evidence,1.0,0.0,322.0,322.0,322.0,0.0,0.0,0.0,0.0,427.03,682.13,4795.794076163611,Affordable,0.0,4.24712643678161,18.296183206106868,0.443714,0.5383,0.766931,0.353429,0.050613,0.980352,dense_habitable,True,3,8,13,81,"Natureville Beyond (Super Luxury, TAM 110) | Neeraja Serenity (Ultra Luxury, TAM 48) | JS House (Premium Luxury, TAM 164) | Prestige Gulmohar (Super Luxury, TAM 404) | Oceanus Tranquil (Aspirational Premium, TAM 305)","Cloudnine Hospital - HRBR (Ultra Premium, 6.5 min) | Trilife Hospital (Ultra Premium, 9.9 min) | Surgecare Super Speciality Hospital (Ultra Premium, 5.4 min) | Cloudnine Hospital - Whitefield (Ultra Premium, 12.6 min) | IIGU Hospital-Indus Institute of Gastro Uro (Ultra Premium, 7.0 min)",
131,876189269ffffff,Bannerughatta,39.7644,Low Evidence,low_evidence,0.5667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,237.71,9462.0,Mid-Segment,0.1325716616792676,3.0,23.2,0.21549,0.444021,0.507475,0.682371,0.532984,0.277959,sparse_habitable,True,0,1,2,41,"Jains Aashraya (Ultra Luxury, TAM 142)","Apollo Hospital (Ultra Premium, 17.9 min) | Fortis Hospital (Ultra Premium, 18.2 min) | Aster RV Hospital (Ultra Premium, 23.5 min) | DHEE Hospitals (Ultra Premium, 21.9 min) | Cadabams Hospitals (Ultra Premium, 22.4 min)",no_direct_society_tam
