rank,hex_id,name,final_affluence_score,affluence_tier,spatial_relation,confidence_score,countable_family_tam,direct_family_tam,direct_total_units,direct_luxury_society_tam,conservative_50l_plus_family_tam,conservative_50l_plus_share_of_direct_tam,estimated_40l_plus_family_tam_linear_25_50_split,estimated_40l_plus_share_linear_25_50_split,nearby_family_tam_weighted_context,society_cluster_tam_weighted_context_not_counted,market_price_per_sqft,refined_budget_segment,premium_candidate_score,rental_yield_pct,yearly_appreciation_pct,society_score,society_cluster_score,hospital_score,market_score,sez_workplace_score,habitability_score,habitability_class,habitable_for_residential_tam,societies_direct_count,societies_nearby_count,society_cluster_project_count,hospitals_nearby_count,top_societies,top_hospitals,quality_flags
1,87618921dffffff,Hagaduru,84.0568,Very High Affluence,local_signal,1.0,0.0,16592.0,16592.0,16592.0,0.0,0.0,0.0,0.0,17919.15,21738.47,11886.256119673619,Ultra Premium,0.6753790463627243,3.0,17.6,0.851491,1.0,0.729698,0.962819,0.841902,0.781218,dense_habitable,True,120,200,249,51,"Divyasree Republic of Whitefield (Ultra Luxury, TAM 1,306) | Folium By Sumadhura Phase III (Ultra Luxury, TAM 1,280) | Sumadhura Folium (Ultra Luxury, TAM 1,280) | Folium By Sumadhura Phase I (Ultra Luxury, TAM 480) | Brigade Cosmopolis (Elite Luxury, TAM 705)","Aster Women & Children Hospital (Ultra Premium, 7.7 min) | Aster Whitefield Hospital (Ultra Premium, 7.7 min) | RxDx Healthcare (Ultra Premium, 8.8 min) | Kauvery Hospital (Ultra Premium, 10.0 min) | Cloudnine Hospital (Super Premium, 4.6 min)",
2,8761892c8ffffff,Kempapura-Byatarayanapura,82.6674,Very High Affluence,local_signal,1.0,0.0,5693.0,5693.0,5693.0,0.0,0.0,0.0,0.0,5979.82,7325.78,10088.12420262664,Premium,0.5547177889524202,3.161290322580645,14.245454545454544,0.846411,0.965887,0.797466,0.870667,0.883828,0.907807,dense_habitable,True,41,73,124,109,"Godrej Woodsman Estate (Ultra Luxury, TAM 924) | Prestige Misty Waters (Ultra Luxury, TAM 558) | DRA Misty Waters (Elite Luxury, TAM 558) | Embassy Lake Terraces (Elite Luxury, TAM 467) | The Formist Mandala (Ultra Luxury, TAM 245)","Aster CMI Hospital (Ultra Premium, 6.1 min) | Mind and Brain hospital (Ultra Premium, 7.2 min) | Trilife Hospital (Ultra Premium, 11.9 min) | Cloudnine Hospital - HRBR (Ultra Premium, 13.0 min) | People Tree Hospitals (Ultra Premium, 15.7 min)",
3,87618920affffff,Kundalahalli-AECS Layout E Block,78.729,High Affluence,local_signal,1.0,0.0,6798.0,6798.0,6798.0,0.0,0.0,0.0,0.0,7783.26,11826.41,8497.370431893687,Premium Candidate,0.13755772820467732,2.3303571428571432,14.629867256637167,0.848378,0.998825,0.810647,0.652067,0.835812,0.747427,habitable,True,30,86,187,74,"Sumadhura Edition (Ultra Luxury, TAM 1,650) | Divyasree Republic Of Whitefield (Ultra Luxury, TAM 1,300) | Sumadhura Solace (Elite Luxury, TAM 777) | Citilights Knightsbridge (Ultra Luxury, TAM 308) | Sumadura LNR Lake Breeze (Ultra Luxury, TAM 192)","Kauvery Hospital (Ultra Premium, 4.1 min) | RxDx Healthcare (Ultra Premium, 6.7 min) | Brookefield Hospital (Ultra Premium, 2.0 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 7.3 min) | Aster Women & Children Hospital (Ultra Premium, 10.9 min)",
4,8761892ceffffff,Thanisandra-Jakkur,77.4046,High Affluence,local_signal,1.0,0.0,5031.0,5031.0,5031.0,0.0,0.0,0.0,0.0,5390.03,6717.57,6213.456140350877,Premium,0.3113619884944747,,38.3,0.819665,0.949023,0.796387,0.51721,1.0,0.757465,dense_habitable,True,17,38,97,103,"G Corp The Icon (Elite Luxury, TAM 1,140) | Lodha Mirabelle (Ultra Luxury, TAM 437) | Embassy Astra (Elite Luxury, TAM 620) | Lodha Mirabelle Phase 2 (Ultra Luxury, TAM 284) | Manyata Residency (Elite Luxury, TAM 450)","Trilife Hospital (Ultra Premium, 10.1 min) | Aster CMI Hospital (Ultra Premium, 12.9 min) | Cloudnine Hospital - HRBR (Ultra Premium, 11.2 min) | Cloudnine Hospital (Super Premium, 3.6 min) | Shishuka Children's Specialty Hospital (Ultra Premium, 8.8 min)",
5,8761892d9ffffff,Sampigehalli-Akash Ward,76.3121,High Affluence,local_signal,0.9333,0.0,2656.0,2656.0,2656.0,0.0,0.0,0.0,0.0,2988.9,4656.71,10450.0,Premium Candidate,0.33684539898410065,3.0,1.0,0.747939,0.900535,0.617701,0.708577,1.0,0.4382,sparse_habitable,True,19,57,102,58,"Mana Verdant (Ultra Luxury, TAM 484) | Down By The Water (Elite Luxury, TAM 602) | Bollineni Astra (Super Luxury, TAM 199) | Jakkur  Pelican Gardens (Elite Luxury, TAM 133) | Vivek Marvel (Premium Luxury, TAM 220)","Aster CMI Hospital (Ultra Premium, 14.1 min) | Maarga (Ultra Premium, 10.3 min) | Regal Hospital (Super Premium, 6.3 min) | Mind and Brain hospital (Ultra Premium, 14.3 min) | Manipal Hospital (Super Premium, 8.9 min)",
6,876189272ffffff,Chikkakanneli-Gunjur,75.4356,High Affluence,local_signal,0.9,0.0,8705.0,8705.0,8705.0,0.0,0.0,0.0,0.0,9297.35,11549.53,10063.868852459014,Mid-Segment,0.1684989494639561,4.0,10.024342105263159,0.846852,0.985172,0.82683,0.683922,0.593065,0.649691,habitable,True,21,41,86,93,"Adarsh Palm Retreat (Elite Luxury, TAM 2,800) | SJR Primecorp Palazza City (Ultra Luxury, TAM 988) | Adarsh Palm Retreat Tower II (Ultra Luxury, TAM 504) | SJR Palazza City (Elite Luxury, TAM 988) | Mana Verdant Terraces (Ultra Luxury, TAM 318)","Sakra World Hospital (Ultra Premium, 6.8 min) | Belenus Champion Hospital (Ultra Premium, 3.5 min) | Manipal Hospital (Ultra Premium, 8.2 min) | Cloudnine Hospital (Ultra Premium, 9.5 min) | Apollo Clinic (Ultra Premium, 7.7 min)",
7,8761892caffffff,Jakkur-Amruthahalli,75.4186,High Affluence,core_cluster,1.0,0.0,2291.0,2291.0,2291.0,0.0,0.0,0.0,0.0,2708.3,5330.11,9052.686746987953,Mid-Segment,0.03360007327855049,2.0,54.9,0.782051,0.955208,0.755032,0.513368,0.965123,0.740185,habitable,True,27,68,136,90,"Sobha HRC Pristine (Ultra Luxury, TAM 395) | Brigade Laguna (Ultra Luxury, TAM 212) | Century Astoria (Elite Luxury, TAM 334) | Assetz Soho & Sky (Ultra Luxury, TAM 114) | Unishire Premia (Ultra Luxury, TAM 78)","Aster CMI Hospital (Ultra Premium, 7.6 min) | Mind and Brain hospital (Ultra Premium, 7.9 min) | Maarga (Ultra Premium, 9.8 min) | Trilife Hospital (Ultra Premium, 14.1 min) | Medstar Speciality Hospital (Ultra Premium, 7.3 min)",
8,876189218ffffff,Belathur-S.M Krishna Ward,75.1568,High Affluence,local_signal,1.0,0.0,5588.0,5588.0,5588.0,0.0,0.0,0.0,0.0,6256.05,9992.47,6662.661207778915,Mid-Segment,0.03980707860771887,3.0,10.592307692307692,0.849598,1.0,0.686207,0.514118,0.841968,0.61279,habitable,True,40,90,201,42,"Mahindra Blossom (Ultra Luxury, TAM 735) | Alembic Cloud Forest (Elite Luxury, TAM 1,330) | Sumadhura Capitol Residences (Ultra Luxury, TAM 405) | Prestige Park View (Ultra Luxury, TAM 376) | Sobha Habitech (Elite Luxury, TAM 318)","Aster Women & Children Hospital (Ultra Premium, 7.2 min) | Aster Whitefield Hospital (Ultra Premium, 7.2 min) | RxDx Healthcare (Ultra Premium, 10.8 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 12.4 min) | Kauvery Hospital (Ultra Premium, 14.9 min)",
9,8761892ddffffff,Sampigehalli-Jakkur,74.9331,High Affluence,local_signal,1.0,0.0,5046.0,5046.0,5046.0,0.0,0.0,0.0,0.0,6008.28,8366.96,5509.158215010142,Mid-Segment,0.011381467968489451,2.6666666666666665,4.266666666666667,0.840072,0.991472,0.697268,0.431493,0.972071,0.678609,habitable,True,20,42,93,76,"Sobha City (Ultra Luxury, TAM 1,762) | Bhartiya Nikoo Homes V Phase 2 (Ultra Luxury, TAM 1,136) | SNN Estates Felicity (Ultra Luxury, TAM 580) | Sumadhura Solea (Ultra Luxury, TAM 233) | Elegant Aura (Ultra Luxury, TAM 90)","Regal Hospital (Super Premium, 2.5 min) | Cloudnine Hospital (Super Premium, 4.1 min) | Trilife Hospital (Ultra Premium, 14.7 min) | Aster CMI Hospital (Ultra Premium, 17.5 min) | Cloudnine Hospital - HRBR (Ultra Premium, 15.8 min)",
10,876189276ffffff,Kodathi,74.904,High Affluence,independent_anchor,0.8333,0.0,5814.0,5814.0,5626.0,0.0,0.0,0.0,0.0,6383.35,7527.18,12077.455947136565,Mid-Segment,0.3789950615297324,,10.1,0.832281,0.948843,0.722794,0.785134,0.647877,0.454485,sparse_habitable,True,12,24,31,63,"Sobha Pavilion (Ultra Luxury, TAM 1,284) | Godrej Lakeside Orchard (Ultra Luxury, TAM 875) | EAST PARK RESIDENCES (Ultra Luxury, TAM 497) | Skanda Avani (Elite Luxury, TAM 376) | JR Greenwich (Ultra Luxury, TAM 170)","Belenus Champion Hospital (Ultra Premium, 3.0 min) | Manipal Hospital (Ultra Premium, 11.3 min) | Sakra World Hospital (Ultra Premium, 13.5 min) | Cloudnine Hospital (Ultra Premium, 12.6 min) | Apollo Clinic (Ultra Premium, 13.5 min)",
11,876016966ffffff,Yelahanka Old Town,74.8733,High Affluence,local_signal,1.0,0.0,2319.0,2319.0,2319.0,0.0,0.0,0.0,0.0,2753.23,4167.38,9762.380818619582,Mid-Segment,0.22940557323870273,3.0,18.3,0.728848,0.867254,0.593336,0.771586,0.952387,0.661505,habitable,True,15,34,93,57,"Brigade Insignia (Elite Luxury, TAM 379) | Century Breeze (Super Luxury, TAM 304) | Kendriya Vihar (Premium Luxury, TAM 650) | SLV Golden Towers (Premium Luxury, TAM 242) | Concorde Mayfair (Premium Luxury, TAM 217)","Maarga (Ultra Premium, 4.6 min) | Manipal Hospital (Super Premium, 3.8 min) | Aster CMI Hospital (Ultra Premium, 15.4 min) | Mind and Brain hospital (Ultra Premium, 12.1 min) | Medstar Speciality Hospital (Ultra Premium, 11.5 min)",
12,876189209ffffff,Panathur,74.7134,High Affluence,local_signal,0.9333,0.0,3645.0,3645.0,3645.0,0.0,0.0,0.0,0.0,4253.97,8124.35,6859.477611940298,Premium,0.43919165516458214,2.0,34.73731343283582,0.80667,0.98952,0.847045,0.577991,0.761996,0.690656,habitable,True,31,44,75,101,"Prestige Green Gables (Ultra Luxury, TAM 406) | Prestige Sunnyside (Ultra Luxury, TAM 400) | Prestige Ivy Terraces (Ultra Luxury, TAM 315) | Krishvi Gavakshi (Ultra Luxury, TAM 304) | Vaswani Reserve (Elite Luxury, TAM 232)","Sakra World Hospital (Ultra Premium, 4.7 min) | Apollo Clinic (Ultra Premium, 5.6 min) | Cloudnine Hospital (Ultra Premium, 9.0 min) | Manipal Hospital (Ultra Premium, 10.2 min) | Kauvery Hospital (Ultra Premium, 9.0 min)",
13,87618920dffffff,Panathur,74.6287,High Affluence,local_signal,0.8333,0.0,1449.0,1449.0,1449.0,0.0,0.0,0.0,0.0,2184.66,8065.31,12280.168539325843,Premium,0.7076113446633606,2.0,,0.727506,0.974747,0.739116,0.818464,0.806329,0.260824,sparse_habitable,True,2,19,74,67,"The Adwaith By Sanjeevini (Ultra Luxury, TAM 668) | DSR Parkway (Premium Luxury, TAM 781) | Sobha Neopolis (Ultra Luxury, TAM 1,875) | Mana Verdant Terraces (Ultra Luxury, TAM 318) | DSR Eden Greens (Super Luxury, TAM 166)","Belenus Champion Hospital (Ultra Premium, 4.1 min) | Sakra World Hospital (Ultra Premium, 13.9 min) | Manipal Hospital (Ultra Premium, 13.6 min) | Cloudnine Hospital (Ultra Premium, 14.9 min) | Kauvery Hospital (Ultra Premium, 12.6 min)",
14,876189208ffffff,Panathur,73.7949,High Affluence,local_signal,0.8667,0.0,18307.0,18307.0,18307.0,0.0,0.0,0.0,0.0,18765.33,21946.34,6392.0,Premium,0.4162416454245923,4.0,0.8,0.826589,0.990168,0.802804,0.536902,0.698645,0.485052,sparse_habitable,True,15,40,102,74,"Sobha Rain Forest (Ultra Luxury, TAM 6,500) | Sobha Neopolis (Ultra Luxury, TAM 1,875) | Sobha Gateway of Dreams (Premium Luxury, TAM 6,500) | Vaswani Menlo Park (Ultra Luxury, TAM 304) | Sobha Sentosa (Super Luxury, TAM 739)","Kauvery Hospital (Ultra Premium, 4.7 min) | Sakra World Hospital (Ultra Premium, 9.2 min) | RxDx Healthcare (Ultra Premium, 11.1 min) | Apollo Clinic (Ultra Premium, 10.4 min) | Brookefield Hospital (Ultra Premium, 6.4 min)",
15,87618925effffff,Ejipura-Sri Lakshmi Devi Ward,71.9542,High Affluence,local_signal,1.0,0.0,3084.0,3084.0,3084.0,0.0,0.0,0.0,0.0,3226.15,4459.24,13086.153846153846,Mixed/Diverse,0.4864716891764182,3.0,33.9,0.758511,0.893993,0.933812,0.684059,0.595251,0.835381,dense_habitable,True,21,55,168,172,"KHB National Games Village (Ultra Luxury, TAM 2,534) | Naveen Terraces (Ultra Luxury, TAM 50) | Prabhavathi Classic (Ultra Luxury, TAM 40) | Teams Royal (Ultra Luxury, TAM 40) | Sri Renuka Enclave (Ultra Luxury, TAM 35)","Vikram Aura Hospital (Ultra Premium, 5.8 min) | Apollo Spectra Hospitals (Ultra Premium, 6.1 min) | Apollo Cradle & Children’s Hospital (Ultra Premium, 4.8 min) | Manipal Hospitals Old Airport Road (Ultra Premium, 11.8 min) | Sita Bhateja Specialty Hospital (Ultra Premium, 8.2 min)",
16,876016964ffffff,Byatarayanapura-Nyayanga Badavane,71.8574,High Affluence,local_signal,1.0,0.0,3464.0,3464.0,3464.0,0.0,0.0,0.0,0.0,3933.78,5227.54,11860.287292817678,Premium,0.579626204908063,,26.1,0.776762,0.912139,0.665924,0.782029,0.575613,0.498913,sparse_habitable,True,22,54,89,76,"Brigade Eternia (Elite Luxury, TAM 1,124) | L and T Elara Celestia (Elite Luxury, TAM 630) | RMZ Galleria (Elite Luxury, TAM 322) | Project By Sobha (Elite Luxury, TAM 294) | Legacy Cirocco (Elite Luxury, TAM 94)","Maarga (Ultra Premium, 4.3 min) | Aster CMI Hospital (Ultra Premium, 9.6 min) | Mind and Brain hospital (Ultra Premium, 9.8 min) | Manipal Hospital (Super Premium, 6.8 min) | Medstar Speciality Hospital (Ultra Premium, 9.2 min)",
17,87618926affffff,Yelenahalli-Doddakammanahalli,71.5312,High Affluence,local_signal,1.0,0.0,5034.0,5034.0,5034.0,0.0,0.0,0.0,0.0,5155.71,6358.58,7167.237885462555,Premium Candidate,0.2750467185273614,1.0,1.1761467889908255,0.794748,0.921213,0.721023,0.590471,0.808363,0.493789,sparse_habitable,True,13,19,33,91,"Prestige Song of the South (Elite Luxury, TAM 1,733) | Serenity Gardens by SNN Estates (Ultra Luxury, TAM 594) | Valmark Cityville (Elite Luxury, TAM 544) | Casagrand Hazen (Premium Luxury, TAM 622) | Puravankara The Sound of Water (Elite Luxury, TAM 207)","Apollo Hospital (Ultra Premium, 9.4 min) | Fortis Hospital (Ultra Premium, 9.6 min) | Aster RV Hospital (Ultra Premium, 15.0 min) | Cadabams Hospitals (Ultra Premium, 13.8 min) | Chirag Global Hospitals (Ultra Premium, 11.3 min)",
18,87618921cffffff,Hagaduru-Channasandra,71.1266,High Affluence,local_signal,1.0,0.0,5127.0,5127.0,5127.0,0.0,0.0,0.0,0.0,5707.06,8100.09,5493.134920634921,Mid-Segment,0.008816221201168185,3.6916890080428955,7.0383720930232565,0.842577,0.995164,0.590151,0.427556,0.896824,0.631161,habitable,True,46,94,175,32,"Sobha Windsor (Elite Luxury, TAM 739) | DSR Evoq (Super Luxury, TAM 724) | Ankuraa Pristine Park (Ultra Luxury, TAM 171) | Prestige Elm Park (Elite Luxury, TAM 192) | DSR Sunrise Towers (Super Luxury, TAM 228)","Aster Women & Children Hospital (Ultra Premium, 10.7 min) | Aster Whitefield Hospital (Ultra Premium, 10.7 min) | RxDx Healthcare (Ultra Premium, 14.3 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 15.9 min) | Kauvery Hospital (Ultra Premium, 16.2 min)",
19,8761892edffffff,Agaram,71.0342,High Affluence,local_signal,1.0,0.0,1706.0,1706.0,1706.0,0.0,0.0,0.0,0.0,1800.15,2765.19,9721.328075709778,Premium,0.4821485523339019,2.0,24.699999999999996,0.702016,0.809337,0.942408,0.640479,0.756716,0.860862,dense_habitable,True,38,72,144,180,"Indus Signature (Elite Luxury, TAM 350) | Gopalan Admiralty Square (Elite Luxury, TAM 212) | Novel Nests Edge Water (Premium Luxury, TAM 400) | Gopalan Admiralty Avenue (Elite Luxury, TAM 75) | Gopalan Admirality Court (Ultra Luxury, TAM 48)","Vikram Aura Hospital (Ultra Premium, 4.7 min) | Manipal Hospitals Old Airport Road (Ultra Premium, 7.1 min) | Cloudnine Hospital - Whitefield (Ultra Premium, 6.3 min) | Manipal Clinic Indiranagar (Ultra Premium, 3.6 min) | Sita Bhateja Specialty Hospital (Ultra Premium, 7.2 min)",
20,876189219ffffff,Bharath Aikya Ward-S.M Krishna Ward,70.9248,High Affluence,local_signal,1.0,0.0,7776.0,7776.0,7776.0,0.0,0.0,0.0,0.0,8545.55,12663.81,4443.4192439862545,Premium Candidate,0.20029684914326812,,17.802542372881355,0.832117,0.996264,0.789356,0.408666,0.670495,0.57708,habitable,True,19,63,188,65,"Prestige Shantiniketan (Elite Luxury, TAM 3,002) | Total Environment Pursuit of a Radical Rhapsody (Elite Luxury, TAM 1,440) | Brigade Begonia (Super Luxury, TAM 880) | Total Windmills Of Your Mind (Elite Luxury, TAM 405) | Embassy East Avenue (Elite Luxury, TAM 393)","Aster Women & Children Hospital (Ultra Premium, 1.2 min) | Aster Whitefield Hospital (Ultra Premium, 1.2 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 6.4 min) | RxDx Healthcare (Ultra Premium, 9.1 min) | Medicover Hospitals - Bangalore (Mid-Premium, 2.6 min)",
21,8761892e6ffffff,Hoodi-Basavanapura,70.1609,High Affluence,local_signal,1.0,0.0,2029.0,2029.0,2029.0,0.0,0.0,0.0,0.0,2727.89,5376.89,10210.0,Premium,0.4527729569397699,3.0,22.4,0.734214,0.939892,0.793525,0.785942,0.560719,0.797434,dense_habitable,True,10,29,56,77,"Godrej United (Elite Luxury, TAM 512) | Vinay Galaxy (Super Luxury, TAM 300) | Gopalan Grandeur (Premium Luxury, TAM 558) | Sumadhura Pranavam MTB (Super Luxury, TAM 198) | Srimitra Symphony (Super Luxury, TAM 116)","Aster Women & Children Hospital (Ultra Premium, 6.0 min) | Aster Whitefield Hospital (Ultra Premium, 6.0 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 5.1 min) | RxDx Healthcare (Ultra Premium, 7.8 min) | Cloudnine Hospital - Whitefield (Ultra Premium, 14.9 min)",
22,876189242ffffff,HSR Layout,69.8955,Upper-Mid / Emerging Affluence,local_signal,1.0,0.0,2141.0,2141.0,2141.0,0.0,0.0,0.0,0.0,2309.65,3236.06,12772.248580399493,Mid-Segment,0.39241980121382947,1.995913084939718,34.79477406124036,0.692816,0.83847,0.899872,0.826858,0.522215,0.954012,dense_habitable,True,9,29,88,133,"Salarpuria Sattva Greenage (Elite Luxury, TAM 1,676) | Home Space The Green (Ultra Luxury, TAM 154) | Gruha Kalyan Gladiolus (Elite Luxury, TAM 102) | Vandana Grand Apartment (Ultra Luxury, TAM 60) | Lumbini Residency (Ultra Luxury, TAM 36)","Greenview Medical Center (Ultra Premium, 1.9 min) | Lotus Multispeciality Center (Ultra Premium, 3.4 min) | Cloudnine Hospital (Ultra Premium, 8.7 min) | Apollo Spectra Hospitals (Ultra Premium, 8.5 min) | Aster RV Hospital (Ultra Premium, 12.1 min)",
23,876189253ffffff,Kodihalli-Domluru,69.775,Upper-Mid / Emerging Affluence,local_signal,1.0,0.0,4839.0,4839.0,4839.0,0.0,0.0,0.0,0.0,4945.09,5858.79,6251.257246376812,Premium Candidate,0.015016610474405296,3.4918032786885247,10.9,0.806175,0.90761,0.891701,0.566431,0.533328,0.775647,dense_habitable,True,40,60,135,145,"Sap Kyros Sun City Apartments (Ultra Luxury, TAM 1,830) | Ferns Paradise (Ultra Luxury, TAM 440) | India Golden Enclave Apartments (Ultra Luxury, TAM 250) | Ranka Heights (Super Luxury, TAM 350) | Prestige Casablanca (Elite Luxury, TAM 210)","Manipal Hospitals Old Airport Road (Ultra Premium, 9.5 min) | Apollo Spectra Hospitals (Ultra Premium, 7.5 min) | Vikram Aura Hospital (Ultra Premium, 12.7 min) | Apollo Cradle & Children’s Hospital (Ultra Premium, 8.0 min) | Cloudnine Hospital - Whitefield (Ultra Premium, 12.0 min)",
24,8760145b3ffffff,Nalwadi Krishnaraja Wadiyar Ward-Malleshwaram,68.9597,Upper-Mid / Emerging Affluence,local_signal,1.0,0.0,5042.0,5042.0,5042.0,0.0,0.0,0.0,0.0,5107.26,5495.03,8339.782278481012,Mid-Segment,0.23932751939727306,2.0232558139534884,1.9,0.798317,0.865416,0.903348,0.627478,0.441852,0.961642,dense_habitable,True,68,133,190,137,"Brigade Gateway (Ultra Luxury, TAM 1,200) | Phoenix One Bangalore West (Elite Luxury, TAM 786) | Phoenix Kessaku (Elite Luxury, TAM 781) | Assetz 22 & Crest (Ultra Luxury, TAM 197) | Assetz Lumos (Ultra Luxury, TAM 143)","People Tree Hospitals (Ultra Premium, 6.0 min) | Manipal Hospital Malleshwaram (Super Premium, 2.6 min) | Cloudnine Hospital (Premium, 1.6 min) | RxDx Healthcare (Ultra Premium, 1.7 min) | Manipal Hospital, Millers Road ( Vikram Hospitals ) (Ultra Premium, 10.0 min)",
25,87618924affffff,Sarakki-Kumaraswamy Layout,68.2425,Upper-Mid / Emerging Affluence,local_signal,1.0,0.0,4091.0,4091.0,1891.0,0.0,0.0,0.0,0.0,4177.13,4992.84,11874.23157894737,Mixed/Diverse,0.2670020240782436,2.0,26.779620379620383,0.742949,0.84146,0.901115,0.700673,0.45916,0.984684,dense_habitable,True,20,44,112,144,"Shriram Southern Crest (Ultra Luxury, TAM 338) | Vaishnavi At One Krishna Brindavan (Elite Luxury, TAM 359) | Sobha Dew Flower (Elite Luxury, TAM 231) | Abhigna Misty Woods (Ultra Luxury, TAM 128) | Total Environment Learning To Fly (Elite Luxury, TAM 202)","Aster RV Hospital (Ultra Premium, 1.6 min) | Cloudnine Hospital - Jayanagar (Ultra Premium, 6.6 min) | Cadabams Hospitals (Ultra Premium, 3.5 min) | Fortis Hospital (Ultra Premium, 7.3 min) | Apollo Hospital (Ultra Premium, 7.9 min)",
26,876189254ffffff,Bellanduru,67.1173,Upper-Mid / Emerging Affluence,local_signal,0.8667,0.0,4431.0,4431.0,4431.0,0.0,0.0,0.0,0.0,5053.3,7198.46,5468.0,Premium,0.4471348985276562,3.0,13.2,0.824742,0.975291,0.901568,0.432689,0.43089,0.694639,habitable,True,19,41,85,125,"Sterling Ascentia (Ultra Luxury, TAM 392) | Sobha Iris (Ultra Luxury, TAM 336) | Adarsh Palm Retreat Lakefront (Elite Luxury, TAM 507) | Springfield Apartments (Super Luxury, TAM 550) | Divyasree Elan (Elite Luxury, TAM 380)","Sakra World Hospital (Ultra Premium, 2.9 min) | Apollo Clinic (Ultra Premium, 0.6 min) | Cloudnine Hospital (Ultra Premium, 3.9 min) | Manipal Hospital (Ultra Premium, 5.1 min) | Cloudnine Hospital (Super Premium, 1.8 min)",
27,8761892ccffffff,Hennur-Lingarajpura,66.9781,Upper-Mid / Emerging Affluence,local_signal,1.0,0.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,939.93,2228.42,19620.02043269231,Premium Candidate,0.48979898670898925,,,0.619292,0.8067,0.856904,0.737657,0.636331,0.986551,dense_habitable,True,8,30,108,128,"Embassy Pristine (Elite Luxury, TAM 424) | DreamzGK DREAMZ SWADHYA (Super Luxury, TAM 108) | Akshay Orchid (Elite Luxury, TAM 72) | Premier Solitude (Elite Luxury, TAM 32) | Krishna Apartment (Elite Luxury, TAM 20)","Trilife Hospital (Ultra Premium, 6.8 min) | Shishuka Children's Specialty Hospital (Ultra Premium, 3.6 min) | Aster CMI Hospital (Ultra Premium, 11.1 min) | Cloudnine Hospital - HRBR (Ultra Premium, 8.4 min) | Cura Hospitals (Ultra Premium, 5.2 min)",
28,87618921affffff,Belathur,66.522,Upper-Mid / Emerging Affluence,local_signal,0.8667,0.0,11384.0,11384.0,11384.0,0.0,0.0,0.0,0.0,11829.17,13171.99,5797.0,Mid-Segment,0.0,3.0,22.399999999999995,0.839426,0.964996,0.518401,0.4151,0.628809,0.549151,habitable,True,38,66,81,31,"Pavani Mirabilia (Ultra Luxury, TAM 1,685) | Prestige Park Grove (Elite Luxury, TAM 3,715) | AWHO Sandeep Vihar (Elite Luxury, TAM 1,524) | Assetz Marq 3.0 (Ultra Luxury, TAM 384) | Sterling Villa Grande (Elite Luxury, TAM 317)","Aster Women & Children Hospital (Ultra Premium, 13.7 min) | Aster Whitefield Hospital (Ultra Premium, 13.7 min) | RxDx Healthcare (Ultra Premium, 17.2 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 18.9 min) | Kauvery Hospital (Ultra Premium, 19.1 min)",
29,876189255ffffff,Iblur-Agaram,66.5136,Upper-Mid / Emerging Affluence,local_signal,0.9333,0.0,2685.0,2685.0,2685.0,0.0,0.0,0.0,0.0,3071.76,4555.9,11175.956221198157,Mid-Segment,0.2692650368915649,3.0,17.5,0.750576,0.887941,0.902654,0.628188,0.390734,0.582073,habitable,True,13,36,93,134,"Corporate Suncity Apartments (Premium Luxury, TAM 1,250) | Sterling Infinia (Elite Luxury, TAM 344) | Mantri Flora (Super Luxury, TAM 165) | SJR Park Vista (Premium Luxury, TAM 298) | SJR Eastwood (Elite Luxury, TAM 110)","Lotus Multispeciality Center (Ultra Premium, 1.8 min) | Cloudnine Hospital (Ultra Premium, 5.9 min) | Greenview Medical Center (Ultra Premium, 5.4 min) | Sai Thunga Hospitals (Ultra Premium, 2.4 min) | Sakra World Hospital (Ultra Premium, 9.3 min)",
30,8761892dbffffff,Kogilu,66.4547,Upper-Mid / Emerging Affluence,local_signal,0.9333,0.0,2600.0,2600.0,2255.0,0.0,0.0,0.0,0.0,2869.65,3936.92,9975.566734279919,Mid-Segment,0.2043663458506812,3.0,4.2,0.723005,0.853091,0.519685,0.745823,0.536588,0.648715,habitable,True,18,35,54,44,"Godrej Aveline (Ultra Luxury, TAM 800) | Vajram Vivera (Ultra Luxury, TAM 343) | Sai North Woods (Premium Luxury, TAM 262) | Shelton (Premium Luxury, TAM 260) | Samruddhi North Square (Premium Luxury, TAM 148)","Manipal Hospital (Super Premium, 5.3 min) | Maarga (Ultra Premium, 10.3 min) | Aster CMI Hospital (Ultra Premium, 20.3 min) | Mind and Brain hospital (Ultra Premium, 17.5 min) | Regal Hospital (Super Premium, 11.6 min)",
