project_id,city_id,name,locality,pincode,existing_source,query,osm_lat,osm_lon,osm_display_name,accepted,acceptance_reason,cache_status
project_cc85ca2465ea7fb1,delhi_ncr,Corona Optus,"Sector 37C, Delhi Gurgaon Expressway",122001.0,validated_candidate_geocode,"Corona Optus, Sector 37C, Delhi Gurgaon Expressway, 122001.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_765d6be736bf759e,delhi_ncr,Microtek Greenburg,Sector 86,122505.0,validated_candidate_geocode,"Microtek Greenburg, Sector 86, 122505.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_ff810d7754687357,delhi_ncr,The Select Premia,"Sector 77, Delhi Gurgaon Expressway",122004.0,validated_candidate_geocode,"The Select Premia, Sector 77, Delhi Gurgaon Expressway, 122004.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_1415fea555538011,delhi_ncr,Godrej Meridien,Sector 106,122006.0,validated_candidate_geocode,"Godrej Meridien, Sector 106, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_dc1d9ccfe6301bbf,delhi_ncr,Shipra Srishti,Indirapuram,201014.0,validated_candidate_geocode,"Shipra Srishti, Indirapuram, 201014.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_4802efcd33dd0d75,delhi_ncr,Tata La Vida,Sector 113,122017.0,validated_candidate_geocode,"Tata La Vida, Sector 113, 122017.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f121012726891dba,delhi_ncr,Alpha Gurgaon One,Sector 84,122004.0,unmapped,"Alpha Gurgaon One, Sector 84, 122004.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_b81bf5ce4d27d88a,delhi_ncr,Ramprastha The Skyz,"Sector 37D, Delhi Gurgaon Expressway",122001.0,validated_candidate_geocode,"Ramprastha The Skyz, Sector 37D, Delhi Gurgaon Expressway, 122001.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f846de89593ab6f3,delhi_ncr,SS Camasa,Sector 90,122505.0,validated_candidate_geocode,"SS Camasa, Sector 90, 122505.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_4a5e291316b6f768,delhi_ncr,BPTP Park Grandeura,Sector 82,121002.0,validated_candidate_geocode,"BPTP Park Grandeura, Sector 82, 121002.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_90567156fa9e160c,delhi_ncr,Emaar Gurgaon Greens,Sector 102,122006.0,validated_candidate_geocode,"Emaar Gurgaon Greens, Sector 102, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_819da5eda15f0078,delhi_ncr,Amrapali Crystal Homes,Sector 76,201304.0,validated_candidate_geocode,"Amrapali Crystal Homes, Sector 76, 201304.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_bac335761faf9cbd,delhi_ncr,Emaar Emerald Estate,Sector 65,122102.0,validated_candidate_geocode,"Emaar Emerald Estate, Sector 65, 122102.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_cdee5a86dcbb8dd7,delhi_ncr,Smartworld One DXP,Sector 113,122017.0,validated_candidate_geocode,"Smartworld One DXP, Sector 113, 122017.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_56d55d524feafd79,delhi_ncr,Hero Homes,Sector 104,122006.0,validated_candidate_geocode,"Hero Homes, Sector 104, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_5d32a4c4bf133c0c,delhi_ncr,NRI Residency,"Sector 45, Noida Express Way",201303.0,validated_candidate_geocode,"NRI Residency, Sector 45, Noida Express Way, 201303.0, Delhi NCR, India",,,,False,no_osm_result,miss
